ID,Under_Grad_School,Under_Grad_Major,US_Ranking,211,985,Gender,State,City
152,CSFU,Stats,221,NA,NA,2,NA,NA
153,UNL,Acurary,129,NA,NA,2,Zhejiang,Hangzhou
154,USTC,Stats,NA,TRUE,TRUE,2,Guangdong,Shenzhen
155,NA,NA,NA,NA,NA,2,Zhejiang,Taizhou
156,NA,Math,NA,NA,NA,2,Jiangsu,Suzhou
157,NA,NA,NA,NA,NA,1,NA,NA
158,NA,NA,NA,NA,NA,2,Shanxi,Linfen
159,NA,NA,NA,NA,NA,1,NewYork,NewYork
160,NA,NA,NA,NA,NA,2,Shandong,Jinan
161,NA,NA,NA,NA,NA,2,Beijing,Haidian
162,NA,NA,NA,NA,NA,2,Shandong,Jinan
163,NA,NA,NA,NA,NA,2,NewYork,NewYork
164,NA,NA,NA,NA,NA,2,Texas,Plano
165,NA,NA,NA,NA,NA,1,NewYork,NewYork
166,NA,NA,NA,NA,NA,1,Zhejiang,Ningbo
167,NA,NA,NA,NA,NA,1,Zhejiang,Shaoxing
168,XJLTU,AM,NA,FALSE,FALSE,0,NA,NA
169,NA,NA,NA,NA,NA,1,Georgia,ForsythCounty
170,NA,NA,NA,NA,NA,2,Liaoning,Dalian
171,NA,NA,NA,NA,NA,2,Jiangsu,Wuxi
172,NA,NA,NA,NA,NA,2,NA,NA
173,NA,NA,NA,NA,NA,1,Fujian,Fuzhou
174,RPI,Math,49,NA,NA,1,NewYork,NewYork
175,NA,NA,NA,NA,NA,1,NA,NA
176,NA,NA,NA,NA,NA,1,Hubei,Wuhan
177,NA,NA,NA,NA,NA,2,NewYork,NewYork
178,UN,Math,NA,NA,NA,1,NewYork,NewYork
179,NA,NA,NA,NA,NA,2,Beijing,Chaoyang
180,SWUFE,Finance,NA,TRUE,TRUE,2,Jiangsu,Wuxi
181,NA,NA,NA,NA,NA,2,NewYork,NewYork
182,NA,NA,NA,NA,NA,2,Colorado,Denver
183,NA,NA,NA,NA,NA,2,Beijing,Xicheng
184,UIUC,Math,46,NA,NA,2,California,SanFrancisco
185,NA,NA,NA,NA,NA,1,Fujian,Xiamen
186,NA,NA,NA,NA,NA,2,NewYork,NewYork
187,UCDenver,Econ,205,NA,NA,2,Zhejiang,Hangzhou
